epoch (ms),time (18:00),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1535503429930,2018-08-29T09:43:49.930,3.271,-0.610,0.366,0.488
1535503429930,2018-08-29T09:43:49.930,3.271,-1.646,0.244,0.427
1535503429930,2018-08-29T09:43:49.930,3.271,-2.195,0.000,0.671
1535503430054,2018-08-29T09:43:50.054,3.395,-1.524,0.122,0.183
1535503430054,2018-08-29T09:43:50.054,3.395,-1.524,-0.244,-0.061
1535503430054,2018-08-29T09:43:50.054,3.395,-1.646,-0.366,0.122
1535503430166,2018-08-29T09:43:50.166,3.507,-1.280,-0.122,0.366
1535503430166,2018-08-29T09:43:50.166,3.507,-1.280,0.122,0.915
1535503430166,2018-08-29T09:43:50.166,3.507,-0.854,0.427,0.671
1535503430290,2018-08-29T09:43:50.290,3.631,-0.976,0.244,0.610
1535503430290,2018-08-29T09:43:50.290,3.631,-1.220,-0.061,0.427
1535503430290,2018-08-29T09:43:50.290,3.631,-1.280,0.000,0.244
1535503430414,2018-08-29T09:43:50.414,3.755,-1.524,-0.061,0.183
1535503430414,2018-08-29T09:43:50.414,3.755,-1.646,-0.183,0.305
1535503430414,2018-08-29T09:43:50.414,3.755,-1.463,-0.122,0.305
1535503430549,2018-08-29T09:43:50.549,3.890,-1.463,-0.122,0.366
1535503430549,2018-08-29T09:43:50.549,3.890,-1.220,-0.061,0.549
1535503430549,2018-08-29T09:43:50.549,3.890,-1.159,0.000,0.488
1535503430662,2018-08-29T09:43:50.662,4.003,-1.646,0.183,0.366
1535503430662,2018-08-29T09:43:50.662,4.003,-0.732,0.061,0.427
1535503430662,2018-08-29T09:43:50.662,4.003,-0.366,0.244,0.427
1535503430774,2018-08-29T09:43:50.774,4.115,-0.915,0.305,0.366
1535503430774,2018-08-29T09:43:50.774,4.115,-1.707,-0.122,0.488
1535503430774,2018-08-29T09:43:50.774,4.115,-1.951,-0.122,0.488
1535503430898,2018-08-29T09:43:50.898,4.239,-1.524,-0.122,-0.122
1535503430898,2018-08-29T09:43:50.898,4.239,-1.463,-0.366,-0.061
1535503430898,2018-08-29T09:43:50.898,4.239,-1.768,-0.366,0.244
1535503431021,2018-08-29T09:43:51.021,4.362,-1.280,-0.244,0.732
1535503431021,2018-08-29T09:43:51.021,4.362,-1.220,0.183,0.793
1535503431021,2018-08-29T09:43:51.021,4.362,-0.610,0.305,0.671
1535503431145,2018-08-29T09:43:51.145,4.486,-1.159,-0.122,0.671
1535503431145,2018-08-29T09:43:51.145,4.486,-1.463,-0.183,0.122
1535503431145,2018-08-29T09:43:51.145,4.486,-1.341,-0.122,0.366
1535503431258,2018-08-29T09:43:51.258,4.599,-1.768,-0.244,0.183
1535503431258,2018-08-29T09:43:51.258,4.599,-1.524,-0.183,0.427
1535503431258,2018-08-29T09:43:51.258,4.599,-1.463,-0.061,0.305
1535503431381,2018-08-29T09:43:51.381,4.722,-1.341,0.000,0.366
1535503431381,2018-08-29T09:43:51.381,4.722,-1.280,0.000,0.427
1535503431381,2018-08-29T09:43:51.381,4.722,-1.341,-0.061,0.366
1535503431505,2018-08-29T09:43:51.505,4.846,-1.220,-0.122,0.305
1535503431505,2018-08-29T09:43:51.505,4.846,-1.280,-0.183,0.366
